Symbol,Series,Security Name,Band,Remarks,,Check
21STCENMGM,EQ,21st Century Management Services Limited,2,-,2,0
VIKASPROP,EQ,Vikas Proppant & Granite Limited,2,-,2,0
3PLAND,EQ,3P Land Holdings Limited,5,-,5,0
3RDROCK,IT,3rd Rock Multimedia Limited,5,-,5,0
AAKASH,SM,Aakash Exploration Services Limited,5,-,5,0
AARVI,SM,Aarvi Encon Limited,5,-,5,0
ABINFRA,SM,A B Infrabuild Limited,5,-,5,0
ABMINTLTD,BE,ABM International Limited,5,-,5,0
ACCURACY,SM,Accuracy Shipping Limited,5,-,5,0
ACEINTEG,SM,Ace Integrated Solutions Limited,5,-,5,0
ADANIGREEN,EQ,Adani Green Energy Limited,5,-,5,0
ADHUNIKIND,EQ,Adhunik Industries Limited,5,-,5,0
ADLABS,BE,Adlabs Entertainment Limited,5,-,5,0
ADROITINFO,BE,Adroit Infotech Limited,5,-,5,0
ADSL,BE,Allied Digital Services Limited,5,-,5,0
AGCNET,EQ,AGC Networks Limited,5,-,5,0
AGROPHOS,EQ,Agro Phos India Limited,5,-,5,0
AIONJSW,EQ,Monnet Ispat & Energy Limited,5,-,5,0
AISL,SM,ANI Integrated Services Limited,5,-,5,0
AJOONI,SM,Ajooni Biotech Limited,5,-,5,0
AKASH,BE,Akash Infra Projects Limited,5,-,5,0
AKSHOPTFBR,EQ,Aksh Optifibre Limited,5,-,5,0
ALCHEM,BE,Alchemist Limited,5,GSM - Stage I,5,0
ALMONDZ,EQ,Almondz Global Securities Limited,5,-,5,0
ALPSINDUS,BE,Alps Industries Limited,5,GSM - Stage I,5,0
AMJUMBO,SM,A and M Jumbo Bags Limited,5,-,5,0
ANIKINDS,BE,Anik Industries Limited,5,-,5,0
ANKITMETAL,BE,Ankit Metal & Power Limited,5,GSM - Stage I,5,0
ANSALHSG,BE,Ansal Housing Limited,5,-,5,0
ANTGRAPHIC,BE,Antarctica Limited,5,-,5,0
ARCOTECH,BE,Arcotech Limited,5,-,5,0
ARENTERP,EQ,Rajdarshan Industries Limited,5,-,5,0
ARIHANTSUP,EQ,Arihant Superstructures Limited,5,-,5,0
ARTEDZ,SM,Artedz Fabs Limited,5,-,5,0
ASHAPURMIN,EQ,Ashapura Minechem Limited,5,-,5,0
ASLIND,SM,ASL Industries Limited,5,-,5,0
ATLANTA,EQ,Atlanta  Limited,5,-,5,0
ATLASCYCLE,BE,Atlas Cycles (Haryana) Limited,5,-,5,0
AURDIS,SM,Aurangabad Distillery Limited,5,-,5,0
AUSOMENT,BE,Ausom Enterprise Limited,5,-,5,0
AUTOIND,BE,Autoline Industries Limited,5,-,5,0
AXISCADES,BE,AXISCADES Engineering Technologies Limited,5,-,5,0
BAGFILMS,BE,B.A.G Films and Media Limited,5,-,5,0
BALKRISHNA,BE,Balkrishna Paper Mills Limited,5,GSM Stage II,5,0
BALLARPUR,BE,Ballarpur Industries Limited,5,-,5,0
BANG,EQ,Bang Overseas Limited,5,-,5,0
BANKA,SM,Banka BioLoo Limited,5,-,5,0
BANSWRAS,BE,Banswara Syntex Limited,5,-,5,0
BARTRONICS,BE,Bartronics India Limited,5,-,5,0
BCG,BE,Brightcom Group Limited,5,-,5,0
BCONCEPTS,SM,Brand Concepts Limited,5,-,5,0
BCP,BE,B.C. Power Controls Ltd,5,-,5,0
BDR,IT,BDR Buildcon Limited,5,-,5,0
BEARDSELL,BE,Beardsell Limited,5,-,5,0
BEDMUTHA,BE,Bedmutha Industries Limited,5,-,5,0
BGLOBAL,BE,Bharatiya Global Infomedia Limited,5,-,5,0
BHARATGEAR,BE,Bharat Gears Limited,5,-,5,0
BIGBLOC,BE,Bigbloc Construction Limited,5,-,5,0
BIOFILCHEM,BE,Biofil Chemicals & Pharmaceuticals Limited,5,-,5,0
BLUEBLENDS,BE,Blue Blends (I) Limited,5,-,5,0
BOHRA,SM,Bohra Industries Limited,5,-,5,0
BRIGHT,SM,Bright Solar Limited,5,-,5,0
BURNPUR,EQ,Burnpur Cement Limited,5,GSM - Stage I,5,0
BVCL,BE,Barak Valley Cements Limited,5,-,5,0
CADSYS,SM,Cadsys (India) Limited,5,-,5,0
CANDC,BZ,C & C Constructions Limited,5,GSM - Stage I,5,0
CAPTRUST,EQ,Capital Trust Limited,5,-,5,0
CASTEXTECH,BE,Castex Technologies Limited,5,GSM - Stage II,5,0
CCHHL,BE,Country Club Hospitality & Holidays Limited,5,-,5,0
CELESTIAL,BE,Celestial Biolabs Limited,5,-,5,0
CEREBRAINT,BE,Cerebra Integrated Technologies Limited,5,-,5,0
CGPOWER,BZ,CG Power and Industrial Solutions Limited,5,-,5,0
CHROMATIC,EQ,Chromatic India Limited,5,-,5,0
CKFSL,EQ,Cox & Kings Financial Service Limited,5,-,5,0
CKPPRODUCT,SM,CKP Products Limited,5,-,5,0
CMMIPL,SM,CMM Infraprojects Limited,5,-,5,0
COMPINFO,EQ,Compuage Infocom Limited,5,-,5,0
CONTI,SM,Continental Seeds and Chemicals Limited,5,-,5,0
COX&KINGS,BZ,Cox & Kings Limited,5,-,5,0
CREATIVE,BE,Creative Peripherals and Distribution Limited,5,-,5,0
CREATIVEYE,EQ,Creative Eye Limited,5,-,5,0
CROWN,SM,Crown Lifters Limited,5,-,5,0
CURATECH,BE,Cura Technologies Limited,5,GSM - Stage I,5,0
CYBERMEDIA,BE,Cyber Media (India) Limited,5,-,5,0
DBREALTY,BE,D B Realty Limited,5,-,5,0
DBSTOCKBRO,BE,DB (International) Stock Brokers Limited,5,-,5,0
DCAL,EQ,Dishman Carbogen Amcis Limited,5,-,5,0
DCM,EQ,DCM  Limited,5,-,5,0
DCMFINSERV,EQ,Dcm Financial Services Limited,5,GSM - Stage 0,5,0
DGCONTENT,BE,Digicontent Limited,5,-,5,0
DHFL,EQ,Dewan Housing Finance Corporation Limited,5,-,5,0
DIAPOWER,BZ,Diamond Power Infra Ltd,5,GSM - Stage I,5,0
DIGJAMLTD,BZ,Digjam Limited,5,-,5,0
DNAMEDIA,BE,Diligent Media Corporation Limited,5,GSM - Stage I,5,0
DQE,EQ,DQ Entertainment (International) Limited,5,-,5,0
DRL,SM,Dhanuka Realty Limited,5,-,5,0
DSML,SM,Debock Sales And Marketing Limited,5,-,5,0
E2E,SM,E2E Networks Limited,5,-,5,0
EASTSILK,BE,Eastern Silk Industries Limited,5,GSM - Stage I,5,0
EASUNREYRL,BZ,Easun Reyrolle Limited,5,-,5,0
EDL,BZ,Empee Distilleries Limited,5,-,5,0
EDUCOMP,BZ,Educomp Solutions Limited,5,GSM - Stage 0,5,0
EMAMIPAP,EQ,Emami Paper Mills Limited,5,-,5,0
EMAMIREAL,BE,Emami Realty Limited,5,-,5,0
EMCO,BZ,Emco Limited,5,GSM - Stage I,5,0
EMKAYTOOLS,SM,Emkay Taps and Cutting Tools Limited,5,-,5,0
EUROCERA,BZ,Euro Ceramics Limited,5,-,5,0
EUROMULTI,BE,Euro Multivision Limited,5,GSM - Stage I,5,0
EXCEL,BE,Excel Realty N Infra Limited,5,-,5,0
FCSSOFT,EQ,FCS Software Solutions Limited,5,-,5,0
FELIX,SM,Felix Industries Limited,5,-,5,0
FLEXITUFF,BE,Flexituff Ventures International Limited,5,-,5,0
FOCUS,SM,Focus Lighting and Fixtures Limited,5,-,5,0
FOURTHDIM,SM,Fourth Dimension Solutions Limited,5,-,5,0
GAL,EQ,Gyscoal Alloys Limited,5,-,5,0
GAMMNINFRA,BE,Gammon Infrastructure Projects Limited,5,-,5,0
GANESHHOUC,BE,Ganesh Housing Corporation Limited,5,-,5,0
GANGOTRI,BZ,Gangotri Textiles Limited,5,GSM - Stage I,5,0
GARDENSILK,BE,Garden Silk Mills Limited,5,-,5,0
GAYAHWS,BE,Gayatri Highways Limited,5,-,5,0
GAYAPROJ,EQ,Gayatri Projects Limited,5,-,5,0
GFLLIMITED,EQ,GFL Limited,5,-,5,0
GICL,SM,Globe International Carriers Limited,5,-,5,0
GIRIRAJ,SZ,Giriraj Civil Developers Limited,5,-,5,0
GIRRESORTS,IT,GIR Natureview Resorts Limited,5,-,5,0
GLFL,BE,Gujarat Lease Financing Limited,5,GSM - Stage II,5,0
GLOBE,SM,Globe Textiles (India) Limited,5,-,5,0
GLOBOFFS,EQ,Global Offshore Services Limited,5,-,5,0
GOACARBON,BE,Goa Carbon Limited,5,-,5,0
GODHA,SM,Godha Cabcon & Insulation Limited,5,-,5,0
GOENKA,BZ,Goenka Diamond and Jewels Limited,5,-,5,0
GOKUL,EQ,Gokul Refoils and Solvent Limited,5,-,5,0
GOLDENTOBC,EQ,Golden Tobacco Limited,5,-,5,0
GOLDSTAR,SM,Goldstar Power Limited,5,-,5,0
GREENPOWER,BE,Orient Green Power Company Limited,5,-,5,0
GRETEX,SM,Gretex Industries Limited,5,-,5,0
GROBTEA,BE,The Grob Tea Company Limited,5,-,5,0
GSS,EQ,GSS Infotech Limited,5,-,5,0
GTLINFRA,EQ,GTL Infrastructure Limited,5,-,5,0
GTNIND,BE,GTN Industries Limited,5,-,5,0
GTNTEX,EQ,GTN Textiles Limited,5,-,5,0
GUJNRECOKE,W1,Gujarat NRE Coke Limited,5,-,5,0
GUJRAFFIA,BE,Gujarat Raffia Industries Limited,5,-,5,0
HAVISHA,BE,Sri Havisha Hospitality and Infrastructure Limited,5,-,5,0
HBSL,EQ,HB Stockholdings Limited,5,-,5,0
HDIL,BE,Housing Development and Infrastructure Limited,5,-,5,0
