Symbol,Series,Security Name,Band,Remarks
21STCENMGM,EQ,21st Century Management Services Limited,2,"-"
3IINFOTECH,EQ,3i Infotech Limited,5,"-"
3PLAND,EQ,3P Land Holdings Limited,5,"-"
3RDROCK,IT,3rd Rock Multimedia Limited,5,"-"
5PAISA,BE,5Paisa Capital Limited,5,"-"
8KMILES,BE,8K Miles Software Services Limited,5,"-"
A2ZINFRA,EQ,A2Z Infra Engineering Limited,5,"-"
AAATECH,ST,Aaa Technologies Limited,5,"-"
AAKASH,EQ,Aakash Exploration Services Limited,5,"-"
AARTIDRUGS,EQ,Aarti Drugs Limited,5,"-"
AARTISURF,BE,Aarti Surfactants Limited,5,"-"
ABINFRA,SM,A B Infrabuild Limited,5,"-"
ABMINTLTD,BE,ABM International Limited,5,"-"
ACCORD,SM,Accord Synergy Limited,5,"-"
ACCURACY,SM,Accuracy Shipping Limited,5,"-"
ACEINTEG,SM,Ace Integrated Solutions Limited,5,"-"
ADANIGREEN,EQ,Adani Green Energy Limited,5,"-"
ADFFOODS,EQ,ADF Foods Limited,5,"-"
ADL,BE,Archidply Decor Limited,5,"-"
ADROITINFO,BE,Adroit Infotech Limited,5,"-"
AFFLE,EQ,Affle (India) Limited,5,"-"
AISL,SM,ANI Integrated Services Limited,5,"-"
AJOONI,SM,Ajooni Biotech Limited,5,"-"
AKASH,BE,Akash Infra Projects Limited,5,"-"
AKSHOPTFBR,EQ,Aksh Optifibre Limited,5,"-"
ALOKINDS,EQ,Alok Industries Limited,5,"-"
ALPA,EQ,Alpa Laboratories Limited,5,"-"
AMJUMBO,SM,A and M Jumbo Bags Limited,5,"-"
ANKITMETAL,BE,Ankit Metal & Power Limited,5,"GSM Stage - 0"
ANSALAPI,EQ,Ansal Properties & Infrastructure Limited,5,"-"
ANSALHSG,EQ,Ansal Housing Limited,5,"-"
ARCOTECH,BE,Arcotech Limited,5,"-"
ARIHANT,EQ,Arihant Foundations & Housing Limited,5,"-"
ARIHANTSUP,EQ,Arihant Superstructures Limited,5,"-"
ARROWGREEN,EQ,Arrow Greentech Limited,5,"-"
ARSHIYA,BE,Arshiya Limited,5,"-"
ARVEE,SM,Arvee Laboratories (India) Limited,5,"-"
ASAL,EQ,Automotive Stampings and Assemblies Limited,5,"-"
ASHAPURMIN,EQ,Ashapura Minechem Limited,5,"-"
ASHIMASYN,BE,Ashima Limited,5,"-"
ASLIND,SM,ASL Industries Limited,5,"-"
ATALREAL,ST,Atal Realtech Limited,5,"-"
ATLASCYCLE,BE,Atlas Cycles (Haryana) Limited,5,"-"
AURDIS,SM,Aurangabad Distillery Limited,5,"-"
AURIONPRO,EQ,Aurionpro Solutions Limited,5,"-"
AUTOIND,EQ,Autoline Industries Limited,5,"-"
AVG,SM,AVG Logistics Limited,5,"-"
BABAFOOD,SM,Baba Agro Food Limited,5,"-"
BAFNAPH,BE,Bafna Pharmaceuticals Limited,5,"-"
BALAXI,BE,BALAXI PHARMACEUTICALS LIMITED,5,"-"
BALLARPUR,BE,Ballarpur Industries Limited,5,"-"
BALPHARMA,BE,Bal Pharma Limited,5,"-"
BANKA,SM,Banka BioLoo Limited,5,"-"
BANSWRAS,EQ,Banswara Syntex Limited,5,"-"
BARTRONICS,BZ,Bartronics India Limited,5,"-"
BCG,EQ,Brightcom Group Limited,5,"-"
BCONCEPTS,SM,Brand Concepts Limited,5,"-"
BDR,IT,BDR Buildcon Limited,5,"-"
BEARDSELL,BE,Beardsell Limited,5,"-"
BEDMUTHA,BE,Bedmutha Industries Limited,5,"-"
BHARATWIRE,EQ,Bharat Wire Ropes Limited,5,"-"
BIGBLOC,BE,Bigbloc Construction Limited,5,"-"
BIL,BE,Bhartiya International Limited,5,"-"
BIOFILCHEM,BE,Biofil Chemicals & Pharmaceuticals Limited,5,"-"
BKMINDST,EQ,Bkm Industries Limited,5,"-"
BLBLIMITED,BE,BLB Limited,5,"-"
BLKASHYAP,BE,B. L. Kashyap and Sons Limited,5,"-"
BLS,EQ,BLS International Services Limited,5,"-"
BLUECOAST,BE,Blue Coast Hotels Limited,5,"GSM Stage - II"
BOHRA,SM,Bohra Industries Limited,5,"-"
BOROLTD,BE,Borosil Limited,5,"-"
BRFL,BE,Bombay Rayon Fashions Limited,5,"-"
BROOKS,BE,Brooks Laboratories Limited,5,"-"
BTML,ST,Bodhi Tree Multimedia Limited,5,"-"
BURNPUR,EQ,Burnpur Cement Limited,5,"GSM Stage - 0"
BUTTERFLY,BE,Butterfly Gandhimathi Appliances Limited,5,"-"
BVCL,BE,Barak Valley Cements Limited,5,"-"
CADSYS,SM,Cadsys (India) Limited,5,"-"
